model,conversation_id,question_ref,answer_ref,question,answer,score,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
deepset/xlm-roberta-large-squad2,10964,2,0,What is the date of the next meeting?,no_answer,4.365658760070801,0,0,,0,0
deepset/xlm-roberta-large-squad2,10964,2,1,What is the date of the next meeting?,in six weeks,-0.19503626227378845,17735,17747,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,2,2,What is the date of the next meeting?,six weeks,-0.30792489647865295,17738,17747,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,2,3,What is the date of the next meeting?,"six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six weeks",-0.6375229358673096,16826,17747,"t six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six week",16825,17747
deepset/xlm-roberta-large-squad2,10964,2,4,What is the date of the next meeting?,"in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six weeks",-0.7501873970031738,16817,17747," in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six week",16817,17747
deepset/xlm-roberta-large-squad2,10964,3,0,What date did the operator propose for the next meeting?,no_answer,3.2796454429626465,0,0,,0,0
deepset/xlm-roberta-large-squad2,10964,3,1,What date did the operator propose for the next meeting?,six weeks,1.2887622117996216,17738,17747,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,3,2,What date did the operator propose for the next meeting?,"six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six weeks",1.149274230003357,16826,17747,"t six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six week",16825,17747
deepset/xlm-roberta-large-squad2,10964,3,3,What date did the operator propose for the next meeting?,in six weeks,0.9231395721435547,17735,17747,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,3,4,What date did the operator propose for the next meeting?,six weeks,-0.11396673321723938,16826,16835,how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time to start f,16780,16880
deepset/xlm-roberta-large-squad2,12046,0,0,What date is set for the next meeting?,no_answer,4.656321287155151,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,0,1,What date is set for the next meeting?,Trixeo,-2.3223330974578857,2007,2013,"o or Bevespi that you've used?""
customer said ""Trixeo.""
operator said ""Perfect And what sort of pati",1960,2060
deepset/xlm-roberta-large-squad2,12046,0,2,What date is set for the next meeting?,"four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",-2.834054470062256,26445,26628,"e four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26444,26628
deepset/xlm-roberta-large-squad2,12046,0,3,What date is set for the next meeting?,Thursday,-3.0124478340148926,26620,26628," and time or is it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Bec",26574,26674
deepset/xlm-roberta-large-squad2,12046,0,4,What date is set for the next meeting?,"in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",-3.2080626487731934,26436,26628," in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26436,26628
deepset/xlm-roberta-large-squad2,12046,1,0,What date is proposed for the next meeting?,no_answer,4.015437602996826,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,1,1,What date is proposed for the next meeting?,"four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",-1.6403974294662476,26445,26628,"e four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26444,26628
deepset/xlm-roberta-large-squad2,12046,1,2,What date is proposed for the next meeting?,Trixeo,-1.8254916667938232,2007,2013,"o or Bevespi that you've used?""
customer said ""Trixeo.""
operator said ""Perfect And what sort of pati",1960,2060
deepset/xlm-roberta-large-squad2,12046,1,3,What date is proposed for the next meeting?,"in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",-1.91466224193573,26436,26628," in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26436,26628
deepset/xlm-roberta-large-squad2,12046,1,4,What date is proposed for the next meeting?,Thursday,-2.0287747383117676,26620,26628," and time or is it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Bec",26574,26674
deepset/xlm-roberta-large-squad2,12046,2,0,What is the date of the next meeting?,in four weeks,5.205615520477295,27582,27595,"t moving forward. And I'll catch up with you in four weeks.""
customer said ""OK my Love you take care",27538,27638
deepset/xlm-roberta-large-squad2,12046,2,1,What is the date of the next meeting?,in maybe four weeks,2.743825912475586,26436,26455,"then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer s",26395,26495
deepset/xlm-roberta-large-squad2,12046,2,2,What is the date of the next meeting?,"in four weeks.""",2.5278549194335938,27582,27597," moving forward. And I'll catch up with you in four weeks.""
customer said ""OK my Love you take care.",27539,27639
deepset/xlm-roberta-large-squad2,12046,2,3,What is the date of the next meeting?,no_answer,2.2737953662872314,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,2,4,What is the date of the next meeting?,four weeks,2.248138189315796,26445,26455,"it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said """,26400,26500
deepset/xlm-roberta-large-squad2,12046,3,0,What date did the operator propose for the next meeting?,no_answer,1.473626971244812,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,3,1,What date did the operator propose for the next meeting?,Thursday,0.2901676595211029,26620,26628," and time or is it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Bec",26574,26674
deepset/xlm-roberta-large-squad2,12046,3,2,What date did the operator propose for the next meeting?,"four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.1232004463672638,26445,26628,"e four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26444,26628
deepset/xlm-roberta-large-squad2,12046,3,3,What date did the operator propose for the next meeting?,"in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.08402422070503235,26436,26628," in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26436,26628
deepset/xlm-roberta-large-squad2,12046,3,4,What date did the operator propose for the next meeting?,Trixeo,-0.4520690441131592,2007,2013,"o or Bevespi that you've used?""
customer said ""Trixeo.""
operator said ""Perfect And what sort of pati",1960,2060
deepset/xlm-roberta-large-squad2,12838,0,0,What date is set for the next meeting?,no_answer,6.441780090332031,0,0,,0,0
deepset/xlm-roberta-large-squad2,12838,0,1,What date is set for the next meeting?,Pretty busy,-4.579034328460693,160,171," time today. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of thei",115,215
deepset/xlm-roberta-large-squad2,12838,0,2,What date is set for the next meeting?,Pretty busy. Pretty busy,-5.38561487197876,160,184,"oday. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of their exper",122,222
deepset/xlm-roberta-large-squad2,12838,0,3,What date is set for the next meeting?,Pretty busy.,-5.910074710845947,160,172,"time today. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of their",116,216
deepset/xlm-roberta-large-squad2,12838,0,4,What date is set for the next meeting?,great,-6.118930816650391,3215,3220,"l. How's that sound?""
customer said ""That sounds great. I think it's one of the ones where you have ",3167,3267
deepset/xlm-roberta-large-squad2,12838,1,0,What date is proposed for the next meeting?,no_answer,6.7012248039245605,0,0,,0,0
deepset/xlm-roberta-large-squad2,12838,1,1,What date is proposed for the next meeting?,Pretty busy,-5.524645805358887,160,171," time today. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of thei",115,215
deepset/xlm-roberta-large-squad2,12838,1,2,What date is proposed for the next meeting?,great,-6.387868404388428,3215,3220,"l. How's that sound?""
customer said ""That sounds great. I think it's one of the ones where you have ",3167,3267
deepset/xlm-roberta-large-squad2,12838,1,3,What date is proposed for the next meeting?,Pretty busy. Pretty busy,-6.6551079750061035,160,184,"oday. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of their exper",122,222
deepset/xlm-roberta-large-squad2,12838,1,4,What date is proposed for the next meeting?,cost,-6.685678482055664,3577,3581,G generic prescribing and you mentioned you know cost. Is that why you think that is the reason behi,3529,3629
deepset/xlm-roberta-large-squad2,12838,2,0,What is the date of the next meeting?,no_answer,6.307103157043457,0,0,,0,0
deepset/xlm-roberta-large-squad2,12838,2,1,What is the date of the next meeting?,Pretty busy,-3.7535033226013184,160,171," time today. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of thei",115,215
deepset/xlm-roberta-large-squad2,12838,2,2,What is the date of the next meeting?,Pretty busy. Pretty busy,-4.6070685386657715,160,184,"oday. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of their exper",122,222
deepset/xlm-roberta-large-squad2,12838,2,3,What is the date of the next meeting?,Pretty busy.,-5.306303024291992,160,172,"time today. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of their",116,216
deepset/xlm-roberta-large-squad2,12838,2,4,What is the date of the next meeting?,great,-5.959144592285156,3215,3220,"l. How's that sound?""
customer said ""That sounds great. I think it's one of the ones where you have ",3167,3267
deepset/xlm-roberta-large-squad2,12838,3,0,What date did the operator propose for the next meeting?,no_answer,7.2405314445495605,0,0,,0,0
deepset/xlm-roberta-large-squad2,12838,3,1,What date did the operator propose for the next meeting?,once a day,-4.839439868927002,11173,11183," So you think that three thousand two hundred once a day?""
customer said ""Yeah they they're going to",11128,11228
deepset/xlm-roberta-large-squad2,12838,3,2,What date did the operator propose for the next meeting?,"great but I suppose looking at that as a recommendation it's still quite complicated for the elderly someone who is 70 years of age remevering all that. It's a it's a challenge.""
operator said ""What would you then what would your advice be then? So you think that three thousand two hundred once a day",-6.610008239746094,10882,11183,"s great but I suppose looking at that as a recommendation it's still quite complicated for the elderly someone who is 70 years of age remevering all that. It's a it's a challenge.""
operator said ""What would you then what would your advice be then? So you think that three thousand two hundred once a da",10881,11183
deepset/xlm-roberta-large-squad2,12838,3,3,What date did the operator propose for the next meeting?,three thousand two hundred once a day,-6.628046035766602,11146,11183,"dvice be then? So you think that three thousand two hundred once a day?""
customer said ""Yeah they th",11114,11214
deepset/xlm-roberta-large-squad2,12838,3,4,What date did the operator propose for the next meeting?,great,-6.7983784675598145,3215,3220,"l. How's that sound?""
customer said ""That sounds great. I think it's one of the ones where you have ",3167,3267
deepset/xlm-roberta-large-squad2,13136,0,0,What date is set for the next meeting?,Monday,6.048647880554199,14158,14164,en at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But then,14111,14211
deepset/xlm-roberta-large-squad2,13136,0,1,What date is set for the next meeting?,next Monday,5.8036723136901855,14153,14164, then at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But t,14108,14208
deepset/xlm-roberta-large-squad2,13136,0,2,What date is set for the next meeting?,Monday next week,3.8570587635040283,11768,11784, and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that,11726,11826
deepset/xlm-roberta-large-squad2,13136,0,3,What date is set for the next meeting?,Monday,3.530524730682373,39649,39655,nd but following on that so I'm meeting them on Monday so I'll speak you'll have an email from me an,39602,39702
deepset/xlm-roberta-large-squad2,13136,0,4,What date is set for the next meeting?,Monday,3.396592855453491,11768,11774,l her and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do,11721,11821
deepset/xlm-roberta-large-squad2,13136,1,0,What date is proposed for the next meeting?,next Monday,5.448731422424316,14153,14164, then at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But t,14108,14208
deepset/xlm-roberta-large-squad2,13136,1,1,What date is proposed for the next meeting?,Monday,4.756995677947998,14158,14164,en at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But then,14111,14211
deepset/xlm-roberta-large-squad2,13136,1,2,What date is proposed for the next meeting?,middle of August,4.587043285369873,24564,24580, of like this week for a date kind of like middle of August when obviously it's raining and you know,24522,24622
deepset/xlm-roberta-large-squad2,13136,1,3,What date is proposed for the next meeting?,Monday,3.988710641860962,11768,11774,l her and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do,11721,11821
deepset/xlm-roberta-large-squad2,13136,1,4,What date is proposed for the next meeting?,Monday next week,3.956491470336914,11768,11784, and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that,11726,11826
deepset/xlm-roberta-large-squad2,13136,2,0,What is the date of the next meeting?,next Monday,6.882763862609863,14153,14164, then at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But t,14108,14208
deepset/xlm-roberta-large-squad2,13136,2,1,What is the date of the next meeting?,Monday,6.434332847595215,14158,14164,en at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But then,14111,14211
deepset/xlm-roberta-large-squad2,13136,2,2,What is the date of the next meeting?,Monday next week,6.217532634735107,11768,11784, and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that,11726,11826
deepset/xlm-roberta-large-squad2,13136,2,3,What is the date of the next meeting?,middle of August,5.662155628204346,24564,24580, of like this week for a date kind of like middle of August when obviously it's raining and you know,24522,24622
deepset/xlm-roberta-large-squad2,13136,2,4,What is the date of the next meeting?,"Monday next week for a remote meeting. OK so I'll do that and kind of like put a face to a name. So I've seen her by email. But what I'll do after today is I'll just email her and CC you in and just go look Janine the Addenbrooke's you know this is your go to to this is the autoimmune liver nurse at Addenbrooke's. So I did put it in my emails like to her but I kind of presumed that Tanya was the kind of black hand and some of that over but in which case it would make way more sense for Nicole to dial into that MDT with Simon wouldn't it?""
customer said ""Yeah yeah. I definitely I mean I'm I'm really surprised that Tanya hasn't said to her to get in touch with me either. That seems a bit.""
operator said ""Like I say I don't know what I know that Tanya's just changed the time of my Monday meeting",4.408275604248047,11768,12571,"n Monday next week for a remote meeting. OK so I'll do that and kind of like put a face to a name. So I've seen her by email. But what I'll do after today is I'll just email her and CC you in and just go look Janine the Addenbrooke's you know this is your go to to this is the autoimmune liver nurse at Addenbrooke's. So I did put it in my emails like to her but I kind of presumed that Tanya was the kind of black hand and some of that over but in which case it would make way more sense for Nicole to dial into that MDT with Simon wouldn't it?""
customer said ""Yeah yeah. I definitely I mean I'm I'm really surprised that Tanya hasn't said to her to get in touch with me either. That seems a bit.""
operator said ""Like I say I don't know what I know that Tanya's just changed the time of my Monday meetin",11767,12571
deepset/xlm-roberta-large-squad2,13136,3,0,What date did the operator propose for the next meeting?,middle of August,6.767443656921387,24564,24580, of like this week for a date kind of like middle of August when obviously it's raining and you know,24522,24622
deepset/xlm-roberta-large-squad2,13136,3,1,What date did the operator propose for the next meeting?,twelve months,5.978986740112305,25161,25174,"ator said ""yeah we can just exactly that. So twelve months what we could do is or what I would sugge",25117,25217
deepset/xlm-roberta-large-squad2,13136,3,2,What date did the operator propose for the next meeting?,Monday next week,5.599084377288818,11768,11784, and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that,11726,11826
deepset/xlm-roberta-large-squad2,13136,3,3,What date did the operator propose for the next meeting?,Monday,5.247318267822266,14158,14164,en at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But then,14111,14211
deepset/xlm-roberta-large-squad2,13136,3,4,What date did the operator propose for the next meeting?,next Monday,4.952942848205566,14153,14164, then at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But t,14108,14208
deepset/xlm-roberta-large-squad2,13828,0,0,What date is set for the next meeting?,no_answer,6.3168230056762695,0,0,,0,0
deepset/xlm-roberta-large-squad2,13828,0,1,What date is set for the next meeting?,10 millimeters,-5.626950263977051,7851,7865," tablet for these.""
operator said ""So there 10 millimeters so there tiny what you actually saw on th",7808,7908
deepset/xlm-roberta-large-squad2,13828,0,2,What date is set for the next meeting?,"10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight was a wonderful thing",-5.67190408706665,7851,8792,"e 10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight was a wonderful thin",7850,8792
deepset/xlm-roberta-large-squad2,13828,0,3,What date is set for the next meeting?,"10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight",-6.1184210777282715,7851,8770,"e 10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsigh",7850,8770
deepset/xlm-roberta-large-squad2,13828,0,4,What date is set for the next meeting?,"today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters",-6.310219764709473,7771,7865,"one today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters s",7768,7868
deepset/xlm-roberta-large-squad2,13828,1,0,What date is proposed for the next meeting?,no_answer,6.300008773803711,0,0,,0,0
deepset/xlm-roberta-large-squad2,13828,1,1,What date is proposed for the next meeting?,today,-4.747034549713135,7771,7776,day would be better to take this and say the one today. Yes. And what the size of the tablet for the,7723,7823
