model,conversation_id,question_ref,answer_ref,question,answer,score,manual_label,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
deepset/xlm-roberta-large-squad2,16699,0,1,Is a meeting proposed in the future?,we're working with the FDA and then hopefully sometime early next year,5.828341484,,24351,24421,"n right now. So we're working with the FDA and then hopefully sometime early next year.""
customer sa",24336,24436
deepset/xlm-roberta-large-squad2,16699,0,2,Is a meeting proposed in the future?,"we're working with the FDA and then hopefully sometime early next year.""",5.791768074,,24351,24423," right now. So we're working with the FDA and then hopefully sometime early next year.""
customer sai",24337,24437
deepset/xlm-roberta-large-squad2,16699,0,3,Is a meeting proposed in the future?,"We can reschedule in a few more weeks or you can send me some information. I can look over it.""",4.356527328,,16695,16790,"lk. We can reschedule in a few more weeks or you can send me some information. I can look over it.""
",16692,16792
deepset/xlm-roberta-large-squad2,16699,0,4,Is a meeting proposed in the future?,in a few more weeks,4.295251369,,16713,16732,on't cover we can talk. We can reschedule in a few more weeks or you can send me some information. I,16672,16772
deepset/xlm-roberta-large-squad2,16699,1,0,Is a follow-up meeting proposed?,"we're working with the FDA and then hopefully sometime early next year.""",5.15925169,-2,24351,24423," right now. So we're working with the FDA and then hopefully sometime early next year.""
customer sai",24337,24437
deepset/xlm-roberta-large-squad2,16699,1,1,Is a follow-up meeting proposed?,we're working with the FDA and then hopefully sometime early next year,5.123276711,,24351,24421,"n right now. So we're working with the FDA and then hopefully sometime early next year.""
customer sa",24336,24436
deepset/xlm-roberta-large-squad2,16699,1,2,Is a follow-up meeting proposed?,We can reschedule in a few more weeks,4.515395164,,16695,16732,ever we don't cover we can talk. We can reschedule in a few more weeks or you can send me some infor,16663,16763
deepset/xlm-roberta-large-squad2,16699,1,3,Is a follow-up meeting proposed?,we're working with the FDA,3.267989397,,24351,24377, this is a hot question right now. So we're working with the FDA and then hopefully sometime early n,24314,24414
deepset/xlm-roberta-large-squad2,16699,1,4,Is a follow-up meeting proposed?,if we could talk about those two that would be great. And then we can wrap it up. And whatever we don't cover we can talk. We can reschedule in a few more weeks,2.984138727,,16572,16732, if we could talk about those two that would be great. And then we can wrap it up. And whatever we don't cover we can talk. We can reschedule in a few more week,16572,16732
deepset/xlm-roberta-large-squad2,16997,0,0,Is a meeting proposed in the future?,no_answer,3.391803026,-2,0,0,,0,0
deepset/xlm-roberta-large-squad2,16997,0,1,Is a meeting proposed in the future?,we've met in the past,2.871810198,,3031,3052,"is year.""
customer said ""Yeah. So I know we've met in the past but I recently had a new role sort of",2991,3091
deepset/xlm-roberta-large-squad2,16997,0,2,Is a meeting proposed in the future?,I know we've met in the past,1.062933683,,3024,3052," this year.""
customer said ""Yeah. So I know we've met in the past but I recently had a new role sort",2988,3088
deepset/xlm-roberta-large-squad2,16997,0,3,Is a meeting proposed in the future?,we've met in the past but,0.971815348,,3031,3056," year.""
customer said ""Yeah. So I know we've met in the past but I recently had a new role sort of t",2993,3093
deepset/xlm-roberta-large-squad2,16997,0,4,Is a meeting proposed in the future?,we've met,0.756495833,,3031,3040,"for this year.""
customer said ""Yeah. So I know we've met in the past but I recently had a new role s",2985,3085
deepset/xlm-roberta-large-squad2,16997,1,0,Is a follow-up meeting proposed?,"I'll follow up and will be in touch soon.""",2.803109407,2,17724,17766,".""
operator said ""No thats it I'll follow up and will be in touch soon.""
customer said ""OK. Sounds g",17695,17795
deepset/xlm-roberta-large-squad2,16997,1,1,Is a follow-up meeting proposed?,"will follow up with yourself and the Lung Doc as well and kind of just kind of brainstorm and see where we land. But I will say to just based on the Patient Empowerment Alliance in general there's high interest in that area at a high level. But even drilling down further if we're focusing on an underserved population within that tumor type it's even more of high interest for the company as well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't know if there was any other key points you wanted to talk about.""
operator said ""No thats it I'll follow up and will be in touch soon.""",2.475690126,,17096,17766," will follow up with yourself and the Lung Doc as well and kind of just kind of brainstorm and see where we land. But I will say to just based on the Patient Empowerment Alliance in general there's high interest in that area at a high level. But even drilling down further if we're focusing on an underserved population within that tumor type it's even more of high interest for the company as well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't know if there was any other key points you wanted to talk about.""
operator said ""No thats it I'll follow up and will be in touch soon.",17096,17766
deepset/xlm-roberta-large-squad2,16997,1,2,Is a follow-up meeting proposed?,"No thats it I'll follow up and will be in touch soon.""",2.464542627,,17713,17767,"about.""
operator said ""No thats it I'll follow up and will be in touch soon.""
customer said ""OK. Sou",17690,17790
deepset/xlm-roberta-large-squad2,16997,1,3,Is a follow-up meeting proposed?,"""No thats it I'll follow up and will be in touch soon.""",2.392652035,,17711,17766,"k about.""
operator said ""No thats it I'll follow up and will be in touch soon.""
customer said ""OK. S",17688,17788
deepset/xlm-roberta-large-squad2,16997,1,4,Is a follow-up meeting proposed?,"definitely will follow up with yourself and the Lung Doc as well and kind of just kind of brainstorm and see where we land. But I will say to just based on the Patient Empowerment Alliance in general there's high interest in that area at a high level. But even drilling down further if we're focusing on an underserved population within that tumor type it's even more of high interest for the company as well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't know if there was any other key points you wanted to talk about.""
operator said ""No thats it I'll follow up and will be in touch soon.""",2.350077152,,17085,17766,"t definitely will follow up with yourself and the Lung Doc as well and kind of just kind of brainstorm and see where we land. But I will say to just based on the Patient Empowerment Alliance in general there's high interest in that area at a high level. But even drilling down further if we're focusing on an underserved population within that tumor type it's even more of high interest for the company as well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't know if there was any other key points you wanted to talk about.""
operator said ""No thats it I'll follow up and will be in touch soon.",17084,17766
deepset/xlm-roberta-large-squad2,17030,0,0,Is a meeting proposed in the future?,no_answer,5.927542597,2,0,0,,0,0
deepset/xlm-roberta-large-squad2,17030,0,1,Is a meeting proposed in the future?,two years,1.42736721,,14209,14218,of pulling this out of my mind but I feel like two years would be a more reasonable amount of time e,14163,14263
deepset/xlm-roberta-large-squad2,17030,0,2,Is a meeting proposed in the future?,maybe in the future they'll be an extension to sort of see what that looks like longer than 52 years,0.16140756,,13868,13968, maybe in the future they'll be an extension to sort of see what that looks like longer than 52 year,13868,13968
deepset/xlm-roberta-large-squad2,17030,0,3,Is a meeting proposed in the future?,they'll be an extension to sort of see what that looks like longer than 52 years,0.091057211,,13888,13968,"the future they'll be an extension to sort of see what that looks like longer than 52 years.""
operat",13878,13978
deepset/xlm-roberta-large-squad2,17030,0,4,Is a meeting proposed in the future?,an extension to sort of see what that looks like longer than 52 years,-0.7876001,,13899,13968,"uture they'll be an extension to sort of see what that looks like longer than 52 years.""
operator sa",13883,13983
deepset/xlm-roberta-large-squad2,17030,1,0,Is a follow-up meeting proposed?,no_answer,5.058055878,2,0,0,,0,0
deepset/xlm-roberta-large-squad2,17030,1,1,Is a follow-up meeting proposed?,two years,4.326591969,,14209,14218,of pulling this out of my mind but I feel like two years would be a more reasonable amount of time e,14163,14263
deepset/xlm-roberta-large-squad2,17030,1,2,Is a follow-up meeting proposed?,two years would be a more reasonable amount of time,2.494535923,,14209,14260,f my mind but I feel like two years would be a more reasonable amount of time especially with covid ,14184,14284
deepset/xlm-roberta-large-squad2,17030,1,3,Is a follow-up meeting proposed?,maybe in the future they'll be an extension to sort of see what that looks like longer than 52 years,-0.88175416,,13868,13968, maybe in the future they'll be an extension to sort of see what that looks like longer than 52 year,13868,13968
deepset/xlm-roberta-large-squad2,17030,1,4,Is a follow-up meeting proposed?,I feel like two years,-1.15179193,,14197,14218, kind of pulling this out of my mind but I feel like two years would be a more reasonable amount of ,14157,14257
deepset/xlm-roberta-large-squad2,17194,0,0,Is a meeting proposed in the future?,no_answer,3.83323127,2,0,0,,0,0
deepset/xlm-roberta-large-squad2,17194,0,1,Is a meeting proposed in the future?,We're hoping to get another rheumatologist in,-0.098661304,,421,466,"""
customer said ""Going good. We're hoping to get another rheumatologist in. And yeah that's the plan",393,493
deepset/xlm-roberta-large-squad2,17194,0,2,Is a meeting proposed in the future?,"Not yet still grey.""",-0.322296083,,6241,6261,"et or is it still grey?""
customer said ""Not yet still grey.""
operator said ""I'm going to just come o",6201,6301
deepset/xlm-roberta-large-squad2,17194,0,3,Is a meeting proposed in the future?,Not yet still grey,-0.965781689,,6241,6259,"yet or is it still grey?""
customer said ""Not yet still grey.""
operator said ""I'm going to just come ",6200,6300
deepset/xlm-roberta-large-squad2,17194,0,4,Is a meeting proposed in the future?,We're hoping to get another rheumatologist in. And yeah that's the plan,-1.146915913,,421,492,"id ""Going good. We're hoping to get another rheumatologist in. And yeah that's the plan. Obviously y",406,506
deepset/xlm-roberta-large-squad2,17194,1,0,Is a follow-up meeting proposed?,no_answer,2.964921534,2,0,0,,0,0
deepset/xlm-roberta-large-squad2,17194,1,1,Is a follow-up meeting proposed?,We're hoping to get another rheumatologist in,1.100504875,,421,466,"""
customer said ""Going good. We're hoping to get another rheumatologist in. And yeah that's the plan",393,493
deepset/xlm-roberta-large-squad2,17194,1,2,Is a follow-up meeting proposed?,We're hoping to get another rheumatologist in. And yeah that's the plan,0.139864445,,421,492,"id ""Going good. We're hoping to get another rheumatologist in. And yeah that's the plan. Obviously y",406,506
deepset/xlm-roberta-large-squad2,17194,1,3,Is a follow-up meeting proposed?,"Not yet still grey.""",-0.167562783,,6241,6261,"et or is it still grey?""
customer said ""Not yet still grey.""
operator said ""I'm going to just come o",6201,6301
deepset/xlm-roberta-large-squad2,17194,1,4,Is a follow-up meeting proposed?,Not yet still grey,-0.629253328,,6241,6259,"yet or is it still grey?""
customer said ""Not yet still grey.""
operator said ""I'm going to just come ",6200,6300
deepset/xlm-roberta-large-squad2,17227,0,0,Is a meeting proposed in the future?,no_answer,4.202167988,-2,0,0,,0,0
deepset/xlm-roberta-large-squad2,17227,0,1,Is a meeting proposed in the future?,in the event that meeting goes well,1.077317238,,13472,13507, making it perhaps more localized in the event that meeting goes well let's hope it does. Would you ,13439,13539
deepset/xlm-roberta-large-squad2,17227,0,2,Is a meeting proposed in the future?,in the event that meeting goes well let's hope it does.,-0.135095119,,13472,13527, perhaps more localized in the event that meeting goes well let's hope it does. Would you be okay wi,13449,13549
deepset/xlm-roberta-large-squad2,17227,0,3,Is a meeting proposed in the future?,in the event that meeting goes well let's hope it does,-0.392077923,,13472,13526, perhaps more localized in the event that meeting goes well let's hope it does. Would you be okay wi,13449,13549
deepset/xlm-roberta-large-squad2,17227,0,4,Is a meeting proposed in the future?,that meeting goes well,-1.179559231,,13485,13507, it perhaps more localized in the event that meeting goes well let's hope it does. Would you be okay,13446,13546
deepset/xlm-roberta-large-squad2,17227,1,0,Is a follow-up meeting proposed?,no_answer,2.927967906,-2,0,0,,0,0
deepset/xlm-roberta-large-squad2,17227,1,1,Is a follow-up meeting proposed?,I'm going to do a generic discussion,1.454003096,,1585,1621, the service now following along I'm going to do a generic discussion. And I'll show you in a second,1553,1653
deepset/xlm-roberta-large-squad2,17227,1,2,Is a follow-up meeting proposed?,if you can send the report and I can then present that to the clinical team,0.746110797,,11319,11394, yeah I think if you can send the report and I can then present that to the clinical team it's defin,11306,11406
deepset/xlm-roberta-large-squad2,17227,1,3,Is a follow-up meeting proposed?,I'm going to do a generic discussion.,-0.081357837,,1585,1622, the service now following along I'm going to do a generic discussion. And I'll show you in a second,1553,1653
deepset/xlm-roberta-large-squad2,17227,1,4,Is a follow-up meeting proposed?,following along I'm going to do a generic discussion,-0.135651112,,1569,1621,o you in the service now following along I'm going to do a generic discussion. And I'll show you in ,1545,1645
deepset/xlm-roberta-large-squad2,17326,0,0,Is a meeting proposed in the future?,Perhaps we could have a meeting,7.303479195,2,13499,13530," That'll be great.""
operator said ""Perhaps we could have a meeting. I could also take you through. S",13464,13564
deepset/xlm-roberta-large-squad2,17326,0,1,Is a meeting proposed in the future?,Perhaps we could have a meeting. I could also take you through,6.609019279,,13499,13561,"t.""
operator said ""Perhaps we could have a meeting. I could also take you through. She's actually se",13480,13580
deepset/xlm-roberta-large-squad2,17326,0,2,Is a meeting proposed in the future?,we could have a meeting,6.060525894,,13506,13529,"at'll be great.""
operator said ""Perhaps we could have a meeting. I could also take you through. She'",13467,13567
