,model,conversation_id,question_ref,answer_ref,question,answer,score,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end,normalised_score,score_difference,weighted_score
11,deepset/xlm-roberta-large-squad2,12046,0,1,Is a meeting proposed in the future?,"it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.830858171,26399,26628,"n it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26398,26628,0.54154290855,0.0,0.0
12,deepset/xlm-roberta-large-squad2,12046,0,2,Is a meeting proposed in the future?,Is it possible to book in a date and time or is it best for me to try you on a Thursday,0.776012063,26542,26629," said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday?""
cus",26535,26635,0.53880060315,0.0,0.0
13,deepset/xlm-roberta-large-squad2,12046,0,3,Is a meeting proposed in the future?,no_answer,0.621652246,0,0,,0,0,0.5310826123,0.0,0.0
14,deepset/xlm-roberta-large-squad2,12046,0,4,Is a meeting proposed in the future?,"to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.30512625,26407,26628,"K to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26406,26628,0.5152563125,0.0,0.0
15,deepset/xlm-roberta-large-squad2,12046,1,0,Is a follow-up meeting proposed?,"it's OK to touch base with you again in maybe four weeks time to get that feedback?""",3.100916624,26399,26483,"and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
custom",26391,26491,0.6550458312,0.019348917009999966,0.6426119852281885
16,deepset/xlm-roberta-large-squad2,12046,1,1,Is a follow-up meeting proposed?,"Have you got them booked in for a follow up. Follow up?""
customer said ""yeah in a couple of weeks time.""",3.049670219,2600,2704," Have you got them booked in for a follow up. Follow up?""
customer said ""yeah in a couple of weeks time.",2600,2704,0.65248351095,0.0,0.0
17,deepset/xlm-roberta-large-squad2,12046,1,2,Is a follow-up meeting proposed?,it's OK to touch base with you again in maybe four weeks time to get that feedback,2.577255249,26399,26481," and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
custo",26390,26490,0.6288627624500001,0.0,0.0
18,deepset/xlm-roberta-large-squad2,12046,1,3,Is a follow-up meeting proposed?,"Have you got them booked in for a follow up. Follow up?""",2.565070152,2600,2656,"r said ""Oh great news. Have you got them booked in for a follow up. Follow up?""
customer said ""yeah ",2578,2678,0.6282535076,0.0,0.0
19,deepset/xlm-roberta-large-squad2,12046,1,4,Is a follow-up meeting proposed?,it's OK to touch base with you again in maybe four weeks time,2.276779175,26399,26460,noon to you and then it's OK to touch base with you again in maybe four weeks time to get that feedb,26379,26479,0.6138389587499999,0.0,0.0
20,deepset/xlm-roberta-large-squad2,12838,0,0,Is a meeting proposed in the future?,we can arrange meeting for the practice clinical pharmacist,4.465264797,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225,0.72326323985,0.053257853979999936,0.6866915229893304
21,deepset/xlm-roberta-large-squad2,12838,0,1,Is a meeting proposed in the future?,"we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",3.785348892,13146,13250, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13146,13250,0.6892674446,0.0,0.0
22,deepset/xlm-roberta-large-squad2,12838,0,2,Is a meeting proposed in the future?,we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there,3.422253847,13146,13248, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from ther,13146,13248,0.67111269235,0.0,0.0
23,deepset/xlm-roberta-large-squad2,12838,0,3,Is a meeting proposed in the future?,we can arrange meeting,2.908802986,13146,13168,the next step then is it something that we can arrange meeting for the practice clinical pharmacist ,13107,13207,0.6454401492999999,0.0,0.0
24,deepset/xlm-roberta-large-squad2,12838,0,4,Is a meeting proposed in the future?,we can arrange meeting for the practice,2.418868065,13146,13185, step then is it something that we can arrange meeting for the practice clinical pharmacist to get m,13115,13215,0.62094340325,0.0,0.0
25,deepset/xlm-roberta-large-squad2,12838,1,0,Is a follow-up meeting proposed?,"we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",4.214421749,13146,13250, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13146,13250,0.71072108745,0.028378481860000027,0.6911084780425766
26,deepset/xlm-roberta-large-squad2,12838,1,1,Is a follow-up meeting proposed?,we can arrange meeting for the practice clinical pharmacist,3.968537331,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225,0.69842686655,0.0,0.0
27,deepset/xlm-roberta-large-squad2,12838,1,2,Is a follow-up meeting proposed?,we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there,3.879736662,13146,13248, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from ther,13146,13248,0.6939868331,0.0,0.0
28,deepset/xlm-roberta-large-squad2,12838,1,3,Is a follow-up meeting proposed?,"is it something that we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",3.094889402,13125,13250,n is it something that we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13124,13250,0.6547444701,0.0,0.0
29,deepset/xlm-roberta-large-squad2,12838,1,4,Is a follow-up meeting proposed?,we can arrange meeting for the practice clinical pharmacist to get me to present,3.076675415,13146,13226,thing that we can arrange meeting for the practice clinical pharmacist to get me to present and and ,13136,13236,0.65383377075,0.0,0.0
30,deepset/xlm-roberta-large-squad2,13136,0,0,Is a meeting proposed in the future?,we'll set up kind of like a stakeholder meeting,6.635519028,23614,23661,ll find out who is and will we'll set up kind of like a stakeholder meeting like I did in Birmingham,23587,23687,0.8317759514,0.07651647093000002,0.7726551091981256
31,deepset/xlm-roberta-large-squad2,13136,0,1,Is a meeting proposed in the future?,I'll meet them on Monday next week for a remote meeting,5.369122505,11750,11805,and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that ,11727,11827,0.76845612525,0.0,0.0
32,deepset/xlm-roberta-large-squad2,13136,0,2,Is a meeting proposed in the future?,"I'll set up a meeting.""",4.855374336,39741,39764,"yway introducing you to Nicole and then I'll set up a meeting.""
customer said ""if she you know if sh",39702,39802,0.7427687168,0.0,0.0
33,deepset/xlm-roberta-large-squad2,13136,0,3,Is a meeting proposed in the future?,I'll set up a meeting,4.63138628,39741,39762,"nyway introducing you to Nicole and then I'll set up a meeting.""
customer said ""if she you know if s",39701,39801,0.731569314,0.0,0.0
34,deepset/xlm-roberta-large-squad2,13136,0,4,Is a meeting proposed in the future?,Monday next week for a remote meeting,4.034545898,11768,11805,u in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that and kind ,11736,11836,0.7017272949000001,0.0,0.0
35,deepset/xlm-roberta-large-squad2,13136,1,0,Is a follow-up meeting proposed?,we'll set up kind of like a stakeholder meeting,5.699972153,23614,23661,ll find out who is and will we'll set up kind of like a stakeholder meeting like I did in Birmingham,23587,23687,0.7849986076500001,0.03209915639000005,0.7605844872460801
36,deepset/xlm-roberta-large-squad2,13136,1,1,Is a follow-up meeting proposed?,"I'll set up a meeting.""",5.05631876,39741,39764,"yway introducing you to Nicole and then I'll set up a meeting.""
customer said ""if she you know if sh",39702,39802,0.752815938,0.0,0.0
37,deepset/xlm-roberta-large-squad2,13136,1,2,Is a follow-up meeting proposed?,"following on that so I'm meeting them on Monday so I'll speak you'll have an email from me anyway introducing you to Nicole and then I'll set up a meeting.""",4.934200287,39608,39764, following on that so I'm meeting them on Monday so I'll speak you'll have an email from me anyway introducing you to Nicole and then I'll set up a meeting.,39608,39764,0.74671001435,0.0,0.0
38,deepset/xlm-roberta-large-squad2,13136,1,3,Is a follow-up meeting proposed?,"I'm meeting them on Monday so I'll speak you'll have an email from me anyway introducing you to Nicole and then I'll set up a meeting.""",4.870373726,39629,39764,o I'm meeting them on Monday so I'll speak you'll have an email from me anyway introducing you to Nicole and then I'll set up a meeting.,39628,39764,0.7435186863000001,0.0,0.0
39,deepset/xlm-roberta-large-squad2,13136,1,4,Is a follow-up meeting proposed?,we'll set up kind of like a stakeholder meeting like I did in Birmingham,4.7290802,23614,23686,ho is and will we'll set up kind of like a stakeholder meeting like I did in Birmingham. So where it,23600,23700,0.73645401,0.0,0.0
40,deepset/xlm-roberta-large-squad2,13828,0,0,Is a meeting proposed in the future?,no_answer,3.429176569,0,0,,0,0,0.6714588284499999,0.16295872153000002,0.5773711620362777
41,deepset/xlm-roberta-large-squad2,13828,0,1,Is a meeting proposed in the future?,we will look at calcium and vitamin D medication prescribed medications first,0.124059319,5505,5582,So certainly we will look at calcium and vitamin D medication prescribed medications first and then.,5493,5593,0.50620296595,0.0,0.0
42,deepset/xlm-roberta-large-squad2,13828,0,2,Is a meeting proposed in the future?,I can think of more than a handful,-0.401582122,2452,2486,"?""
customer said ""Yes absolutely. I can think of more than a handful to be honest I would say more s",2419,2519,0.4799208939,0.0,0.0
43,deepset/xlm-roberta-large-squad2,13828,0,3,Is a meeting proposed in the future?,more than a handful,-0.969573319,2467,2486,"omer said ""Yes absolutely. I can think of more than a handful to be honest I would say more so now w",2426,2526,0.45152133405,0.0,0.0
44,deepset/xlm-roberta-large-squad2,13828,0,4,Is a meeting proposed in the future?,we will look at calcium and vitamin D medication,-1.332069755,5505,5553,ents as well. So certainly we will look at calcium and vitamin D medication prescribed medications f,5479,5579,0.43339651225000003,0.0,0.0
45,deepset/xlm-roberta-large-squad2,13828,1,0,Is a follow-up meeting proposed?,we will look at calcium and vitamin D medication,4.071565151,5505,5553,ents as well. So certainly we will look at calcium and vitamin D medication prescribed medications f,5479,5579,0.70357825755,0.05388797283000013,0.6676025115465403
46,deepset/xlm-roberta-large-squad2,13828,1,1,Is a follow-up meeting proposed?,"we will look at calcium and vitamin D medication prescribed medications first and then.""",3.875468969,5505,5593,"tainly we will look at calcium and vitamin D medication prescribed medications first and then.""
oper",5499,5599,0.69377344845,0.0,0.0
47,deepset/xlm-roberta-large-squad2,13828,1,2,Is a follow-up meeting proposed?,we will look at calcium and vitamin D medication prescribed medications first,2.817722797,5505,5582,So certainly we will look at calcium and vitamin D medication prescribed medications first and then.,5493,5593,0.64088613985,0.0,0.0
48,deepset/xlm-roberta-large-squad2,13828,1,3,Is a follow-up meeting proposed?,we will look at calcium and vitamin D medication prescribed medications first and then,2.249919415,5505,5591,"rtainly we will look at calcium and vitamin D medication prescribed medications first and then.""
ope",5498,5598,0.6124959707500001,0.0,0.0
49,deepset/xlm-roberta-large-squad2,13828,1,4,Is a follow-up meeting proposed?,no_answer,1.95435214,0,0,,0,0,0.597717607,0.0,0.0
50,deepset/xlm-roberta-large-squad2,13960,0,0,Is a meeting proposed in the future?,i've said to meet the following week,6.936964512,15711,15747,"I think is Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is",15679,15779,0.8468482256,0.04610692023999985,0.8095235861796177
51,deepset/xlm-roberta-large-squad2,13960,0,1,Is a meeting proposed in the future?,they've agreed to meet the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following week,6.52801466,15608,15747,o they've agreed to meet the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following wee,15607,15747,0.826400733,0.0,0.0
52,deepset/xlm-roberta-large-squad2,13960,0,2,Is a meeting proposed in the future?,i've said to meet the following week.,5.669178486,15711,15748,"I think is Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is",15679,15779,0.7834589243,0.0,0.0
53,deepset/xlm-roberta-large-squad2,13960,0,3,Is a meeting proposed in the future?,they've agreed to meet,5.472771645,15608,15630,g to give themnice little emails and so they've agreed to meet the guy directorate manager is on Hol,15569,15669,0.77363858225,0.0,0.0
54,deepset/xlm-roberta-large-squad2,13960,0,4,Is a meeting proposed in the future?,to meet the following week,5.467201233,15721,15747,"nk is Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is that",15684,15784,0.77336006165,0.0,0.0
55,deepset/xlm-roberta-large-squad2,13960,1,0,Is a follow-up meeting proposed?,i've said to meet the following week,6.200843811,15711,15747,"I think is Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is",15679,15779,0.8100421905499999,0.03906038760999997,0.7795910615101231
56,deepset/xlm-roberta-large-squad2,13960,1,1,Is a follow-up meeting proposed?,they've agreed to meet the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following week,5.947977066,15608,15747,o they've agreed to meet the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following wee,15607,15747,0.7973988533,0.0,0.0
57,deepset/xlm-roberta-large-squad2,13960,1,2,Is a follow-up meeting proposed?,I've arranged to meet to do this meeting and we'll see what comes after that,5.098861694,17945,18021,"nute anyway. I've arranged to meet to do this meeting and we'll see what comes after that. ""
operato",17933,18033,0.7549430847,0.0,0.0
58,deepset/xlm-roberta-large-squad2,13960,1,3,Is a follow-up meeting proposed?,the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following week,5.044964314,15631,15747, the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following wee,15631,15747,0.7522482157,0.0,0.0
59,deepset/xlm-roberta-large-squad2,13960,1,4,Is a follow-up meeting proposed?,they've agreed to meet the guy directorate manager is on Holiday back,4.805533409,15608,15677,le emails and so they've agreed to meet the guy directorate manager is on Holiday back I think is Ba,15592,15692,0.7402766704499999,0.0,0.0
60,deepset/xlm-roberta-large-squad2,16699,0,0,Is a meeting proposed in the future?,We can reschedule in a few more weeks,6.275606155,16695,16732,ever we don't cover we can talk. We can reschedule in a few more weeks or you can send me some infor,16663,16763,0.8137803077499999,0.04830536364999993,0.7762817361885582
61,deepset/xlm-roberta-large-squad2,16699,0,1,Is a meeting proposed in the future?,we're working with the FDA and then hopefully sometime early next year,5.828341484,24351,24421,"n right now. So we're working with the FDA and then hopefully sometime early next year.""
customer sa",24336,24436,0.7914170742,0.0,0.0
62,deepset/xlm-roberta-large-squad2,16699,0,2,Is a meeting proposed in the future?,"we're working with the FDA and then hopefully sometime early next year.""",5.791768074,24351,24423," right now. So we're working with the FDA and then hopefully sometime early next year.""
customer sai",24337,24437,0.7895884037,0.0,0.0
63,deepset/xlm-roberta-large-squad2,16699,0,3,Is a meeting proposed in the future?,"We can reschedule in a few more weeks or you can send me some information. I can look over it.""",4.356527328,16695,16790,"lk. We can reschedule in a few more weeks or you can send me some information. I can look over it.""
",16692,16792,0.7178263664,0.0,0.0
64,deepset/xlm-roberta-large-squad2,16699,0,4,Is a meeting proposed in the future?,in a few more weeks,4.295251369,16713,16732,on't cover we can talk. We can reschedule in a few more weeks or you can send me some information. I,16672,16772,0.71476256845,0.0,0.0
65,deepset/xlm-roberta-large-squad2,16699,1,0,Is a follow-up meeting proposed?,"we're working with the FDA and then hopefully sometime early next year.""",5.15925169,24351,24423," right now. So we're working with the FDA and then hopefully sometime early next year.""
customer sai",24337,24437,0.7579625845,0.047462067609999936,0.7236181699920146
66,deepset/xlm-roberta-large-squad2,16699,1,1,Is a follow-up meeting proposed?,we're working with the FDA and then hopefully sometime early next year,5.123276711,24351,24421,"n right now. So we're working with the FDA and then hopefully sometime early next year.""
customer sa",24336,24436,0.75616383555,0.0,0.0
67,deepset/xlm-roberta-large-squad2,16699,1,2,Is a follow-up meeting proposed?,We can reschedule in a few more weeks,4.515395164,16695,16732,ever we don't cover we can talk. We can reschedule in a few more weeks or you can send me some infor,16663,16763,0.7257697582,0.0,0.0
68,deepset/xlm-roberta-large-squad2,16699,1,3,Is a follow-up meeting proposed?,we're working with the FDA,3.267989397,24351,24377, this is a hot question right now. So we're working with the FDA and then hopefully sometime early n,24314,24414,0.6633994698500001,0.0,0.0
69,deepset/xlm-roberta-large-squad2,16699,1,4,Is a follow-up meeting proposed?,if we could talk about those two that would be great. And then we can wrap it up. And whatever we don't cover we can talk. We can reschedule in a few more weeks,2.984138727,16572,16732, if we could talk about those two that would be great. And then we can wrap it up. And whatever we don't cover we can talk. We can reschedule in a few more week,16572,16732,0.6492069363499999,0.0,0.0
70,deepset/xlm-roberta-large-squad2,16997,0,0,Is a meeting proposed in the future?,no_answer,3.391803026,0,0,,0,0,0.6695901513,0.07904157042000004,0.6205415710160013
71,deepset/xlm-roberta-large-squad2,16997,0,1,Is a meeting proposed in the future?,we've met in the past,2.871810198,3031,3052,"is year.""
customer said ""Yeah. So I know we've met in the past but I recently had a new role sort of",2991,3091,0.6435905099,0.0,0.0
72,deepset/xlm-roberta-large-squad2,16997,0,2,Is a meeting proposed in the future?,I know we've met in the past,1.062933683,3024,3052," this year.""
customer said ""Yeah. So I know we've met in the past but I recently had a new role sort",2988,3088,0.55314668415,0.0,0.0
73,deepset/xlm-roberta-large-squad2,16997,0,3,Is a meeting proposed in the future?,we've met in the past but,0.971815348,3031,3056," year.""
customer said ""Yeah. So I know we've met in the past but I recently had a new role sort of t",2993,3093,0.5485907674,0.0,0.0
74,deepset/xlm-roberta-large-squad2,16997,0,4,Is a meeting proposed in the future?,we've met,0.756495833,3031,3040,"for this year.""
customer said ""Yeah. So I know we've met in the past but I recently had a new role s",2985,3085,0.5378247916500001,0.0,0.0
75,deepset/xlm-roberta-large-squad2,16997,1,0,Is a follow-up meeting proposed?,"I'll follow up and will be in touch soon.""",2.803109407,17724,17766,".""
operator said ""No thats it I'll follow up and will be in touch soon.""
customer said ""OK. Sounds g",17695,17795,0.6401554703500001,0.015294756880000038,0.6305119434647701
76,deepset/xlm-roberta-large-squad2,16997,1,1,Is a follow-up meeting proposed?,"will follow up with yourself and the Lung Doc as well and kind of just kind of brainstorm and see where we land. But I will say to just based on the Patient Empowerment Alliance in general there's high interest in that area at a high level. But even drilling down further if we're focusing on an underserved population within that tumor type it's even more of high interest for the company as well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't know if there was any other key points you wanted to talk about.""
operator said ""No thats it I'll follow up and will be in touch soon.""",2.475690126,17096,17766," will follow up with yourself and the Lung Doc as well and kind of just kind of brainstorm and see where we land. But I will say to just based on the Patient Empowerment Alliance in general there's high interest in that area at a high level. But even drilling down further if we're focusing on an underserved population within that tumor type it's even more of high interest for the company as well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't know if there was any other key points you wanted to talk about.""
operator said ""No thats it I'll follow up and will be in touch soon.",17096,17766,0.6237845063,0.0,0.0
77,deepset/xlm-roberta-large-squad2,16997,1,2,Is a follow-up meeting proposed?,"No thats it I'll follow up and will be in touch soon.""",2.464542627,17713,17767,"about.""
operator said ""No thats it I'll follow up and will be in touch soon.""
customer said ""OK. Sou",17690,17790,0.62322713135,0.0,0.0
78,deepset/xlm-roberta-large-squad2,16997,1,3,Is a follow-up meeting proposed?,"""No thats it I'll follow up and will be in touch soon.""",2.392652035,17711,17766,"k about.""
operator said ""No thats it I'll follow up and will be in touch soon.""
customer said ""OK. S",17688,17788,0.61963260175,0.0,0.0
79,deepset/xlm-roberta-large-squad2,16997,1,4,Is a follow-up meeting proposed?,"definitely will follow up with yourself and the Lung Doc as well and kind of just kind of brainstorm and see where we land. But I will say to just based on the Patient Empowerment Alliance in general there's high interest in that area at a high level. But even drilling down further if we're focusing on an underserved population within that tumor type it's even more of high interest for the company as well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't know if there was any other key points you wanted to talk about.""
operator said ""No thats it I'll follow up and will be in touch soon.""",2.350077152,17085,17766,"t definitely will follow up with yourself and the Lung Doc as well and kind of just kind of brainstorm and see where we land. But I will say to just based on the Patient Empowerment Alliance in general there's high interest in that area at a high level. But even drilling down further if we're focusing on an underserved population within that tumor type it's even more of high interest for the company as well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't know if there was any other key points you wanted to talk about.""
operator said ""No thats it I'll follow up and will be in touch soon.",17084,17766,0.6175038576,0.0,0.0
80,deepset/xlm-roberta-large-squad2,17030,0,0,Is a meeting proposed in the future?,no_answer,5.927542597,0,0,,0,0,0.79637712985,0.22817938507000002,0.6484208573526989
81,deepset/xlm-roberta-large-squad2,17030,0,1,Is a meeting proposed in the future?,two years,1.42736721,14209,14218,of pulling this out of my mind but I feel like two years would be a more reasonable amount of time e,14163,14263,0.5713683605,0.0,0.0
82,deepset/xlm-roberta-large-squad2,17030,0,2,Is a meeting proposed in the future?,maybe in the future they'll be an extension to sort of see what that looks like longer than 52 years,0.16140756,13868,13968, maybe in the future they'll be an extension to sort of see what that looks like longer than 52 year,13868,13968,0.508070378,0.0,0.0
83,deepset/xlm-roberta-large-squad2,17030,0,3,Is a meeting proposed in the future?,they'll be an extension to sort of see what that looks like longer than 52 years,0.091057211,13888,13968,"the future they'll be an extension to sort of see what that looks like longer than 52 years.""
operat",13878,13978,0.50455286055,0.0,0.0
84,deepset/xlm-roberta-large-squad2,17030,0,4,Is a meeting proposed in the future?,an extension to sort of see what that looks like longer than 52 years,-0.7876001,13899,13968,"uture they'll be an extension to sort of see what that looks like longer than 52 years.""
operator sa",13883,13983,0.46061999499999995,0.0,0.0
85,deepset/xlm-roberta-large-squad2,17030,1,0,Is a follow-up meeting proposed?,no_answer,5.058055878,0,0,,0,0,0.7529027939,0.15444641710000007,0.6521764741505386
86,deepset/xlm-roberta-large-squad2,17030,1,1,Is a follow-up meeting proposed?,two years,4.326591969,14209,14218,of pulling this out of my mind but I feel like two years would be a more reasonable amount of time e,14163,14263,0.71632959845,0.0,0.0
87,deepset/xlm-roberta-large-squad2,17030,1,2,Is a follow-up meeting proposed?,two years would be a more reasonable amount of time,2.494535923,14209,14260,f my mind but I feel like two years would be a more reasonable amount of time especially with covid ,14184,14284,0.62472679615,0.0,0.0
88,deepset/xlm-roberta-large-squad2,17030,1,3,Is a follow-up meeting proposed?,maybe in the future they'll be an extension to sort of see what that looks like longer than 52 years,-0.88175416,13868,13968, maybe in the future they'll be an extension to sort of see what that looks like longer than 52 year,13868,13968,0.455912292,0.0,0.0
89,deepset/xlm-roberta-large-squad2,17030,1,4,Is a follow-up meeting proposed?,I feel like two years,-1.15179193,14197,14218, kind of pulling this out of my mind but I feel like two years would be a more reasonable amount of ,14157,14257,0.4424104035,0.0,0.0
90,deepset/xlm-roberta-large-squad2,17194,0,0,Is a meeting proposed in the future?,no_answer,3.83323127,0,0,,0,0,0.6916615635000001,0.17866580069000004,0.5868173684984294
91,deepset/xlm-roberta-large-squad2,17194,0,1,Is a meeting proposed in the future?,We're hoping to get another rheumatologist in,-0.098661304,421,466,"""
customer said ""Going good. We're hoping to get another rheumatologist in. And yeah that's the plan",393,493,0.49506693479999997,0.0,0.0
92,deepset/xlm-roberta-large-squad2,17194,0,2,Is a meeting proposed in the future?,"Not yet still grey.""",-0.322296083,6241,6261,"et or is it still grey?""
customer said ""Not yet still grey.""
operator said ""I'm going to just come o",6201,6301,0.48388519585,0.0,0.0
93,deepset/xlm-roberta-large-squad2,17194,0,3,Is a meeting proposed in the future?,Not yet still grey,-0.965781689,6241,6259,"yet or is it still grey?""
customer said ""Not yet still grey.""
operator said ""I'm going to just come ",6200,6300,0.45171091555,0.0,0.0
94,deepset/xlm-roberta-large-squad2,17194,0,4,Is a meeting proposed in the future?,We're hoping to get another rheumatologist in. And yeah that's the plan,-1.146915913,421,492,"id ""Going good. We're hoping to get another rheumatologist in. And yeah that's the plan. Obviously y",406,506,0.44265420434999997,0.0,0.0
95,deepset/xlm-roberta-large-squad2,17194,1,0,Is a follow-up meeting proposed?,no_answer,2.964921534,0,0,,0,0,0.6482460767,0.11416132927,0.581824247234224
96,deepset/xlm-roberta-large-squad2,17194,1,1,Is a follow-up meeting proposed?,We're hoping to get another rheumatologist in,1.100504875,421,466,"""
customer said ""Going good. We're hoping to get another rheumatologist in. And yeah that's the plan",393,493,0.5550252437500001,0.0,0.0
97,deepset/xlm-roberta-large-squad2,17194,1,2,Is a follow-up meeting proposed?,We're hoping to get another rheumatologist in. And yeah that's the plan,0.139864445,421,492,"id ""Going good. We're hoping to get another rheumatologist in. And yeah that's the plan. Obviously y",406,506,0.50699322225,0.0,0.0
