model,conversation_id,question_ref,answer_ref,question,answer,score,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
deepset/xlm-roberta-large-squad2,12046,0,0,What date is set for another meeting?,no_answer,2.826510727405548,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,0,1,What date is set for another meeting?,Trixeo,-0.4051716923713684,2007,2013,"o or Bevespi that you've used?""
customer said ""Trixeo.""
operator said ""Perfect And what sort of pati",1960,2060
deepset/xlm-roberta-large-squad2,12046,0,2,What date is set for another meeting?,four weeks,-0.7387253046035767,26445,26455,"it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said """,26400,26500
deepset/xlm-roberta-large-squad2,12046,0,3,What date is set for another meeting?,in maybe four weeks,-0.7806018590927124,26436,26455,"then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer s",26395,26495
deepset/xlm-roberta-large-squad2,12046,0,4,What date is set for another meeting?,"four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",-0.9098802804946899,26445,26628,"e four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26444,26628
deepset/xlm-roberta-large-squad2,12046,1,0,What date is proposed for the next meeting?,no_answer,4.015437602996826,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,1,1,What date is proposed for the next meeting?,"four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",-1.6403974294662476,26445,26628,"e four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26444,26628
deepset/xlm-roberta-large-squad2,12046,1,2,What date is proposed for the next meeting?,Trixeo,-1.8254916667938232,2007,2013,"o or Bevespi that you've used?""
customer said ""Trixeo.""
operator said ""Perfect And what sort of pati",1960,2060
deepset/xlm-roberta-large-squad2,12046,1,3,What date is proposed for the next meeting?,"in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",-1.91466224193573,26436,26628," in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26436,26628
deepset/xlm-roberta-large-squad2,12046,1,4,What date is proposed for the next meeting?,Thursday,-2.0287747383117676,26620,26628," and time or is it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Bec",26574,26674
deepset/xlm-roberta-large-squad2,12838,0,0,What date is set for another meeting?,no_answer,6.417987823486328,0,0,,0,0
deepset/xlm-roberta-large-squad2,12838,0,1,What date is set for another meeting?,Pretty busy,-3.710435390472412,160,171," time today. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of thei",115,215
deepset/xlm-roberta-large-squad2,12838,0,2,What date is set for another meeting?,Pretty busy. Pretty busy,-4.397150039672852,160,184,"oday. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of their exper",122,222
deepset/xlm-roberta-large-squad2,12838,0,3,What date is set for another meeting?,Pretty busy.,-5.291255950927734,160,172,"time today. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of their",116,216
deepset/xlm-roberta-large-squad2,12838,0,4,What date is set for another meeting?,great,-5.932889938354492,3215,3220,"l. How's that sound?""
customer said ""That sounds great. I think it's one of the ones where you have ",3167,3267
deepset/xlm-roberta-large-squad2,12838,1,0,What date is proposed for the next meeting?,no_answer,6.7012248039245605,0,0,,0,0
deepset/xlm-roberta-large-squad2,12838,1,1,What date is proposed for the next meeting?,Pretty busy,-5.524645805358887,160,171," time today. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of thei",115,215
deepset/xlm-roberta-large-squad2,12838,1,2,What date is proposed for the next meeting?,great,-6.387868404388428,3215,3220,"l. How's that sound?""
customer said ""That sounds great. I think it's one of the ones where you have ",3167,3267
deepset/xlm-roberta-large-squad2,12838,1,3,What date is proposed for the next meeting?,Pretty busy. Pretty busy,-6.6551079750061035,160,184,"oday. How are things?""
customer said ""Pretty busy. Pretty busy as always cleaning out of their exper",122,222
deepset/xlm-roberta-large-squad2,12838,1,4,What date is proposed for the next meeting?,cost,-6.685678482055664,3577,3581,G generic prescribing and you mentioned you know cost. Is that why you think that is the reason behi,3529,3629
deepset/xlm-roberta-large-squad2,13136,0,0,What date is set for another meeting?,next Monday,3.8496055603027344,14153,14164, then at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But t,14108,14208
deepset/xlm-roberta-large-squad2,13136,0,1,What date is set for another meeting?,Monday next week,3.3738367557525635,11768,11784, and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that,11726,11826
deepset/xlm-roberta-large-squad2,13136,0,2,What date is set for another meeting?,middle of August,3.2059853076934814,24564,24580, of like this week for a date kind of like middle of August when obviously it's raining and you know,24522,24622
deepset/xlm-roberta-large-squad2,13136,0,3,What date is set for another meeting?,"Monday next week for a remote meeting. OK so I'll do that and kind of like put a face to a name. So I've seen her by email. But what I'll do after today is I'll just email her and CC you in and just go look Janine the Addenbrooke's you know this is your go to to this is the autoimmune liver nurse at Addenbrooke's. So I did put it in my emails like to her but I kind of presumed that Tanya was the kind of black hand and some of that over but in which case it would make way more sense for Nicole to dial into that MDT with Simon wouldn't it?""
customer said ""Yeah yeah. I definitely I mean I'm I'm really surprised that Tanya hasn't said to her to get in touch with me either. That seems a bit.""
operator said ""Like I say I don't know what I know that Tanya's just changed the time of my Monday meeting",2.947242021560669,11768,12571,"n Monday next week for a remote meeting. OK so I'll do that and kind of like put a face to a name. So I've seen her by email. But what I'll do after today is I'll just email her and CC you in and just go look Janine the Addenbrooke's you know this is your go to to this is the autoimmune liver nurse at Addenbrooke's. So I did put it in my emails like to her but I kind of presumed that Tanya was the kind of black hand and some of that over but in which case it would make way more sense for Nicole to dial into that MDT with Simon wouldn't it?""
customer said ""Yeah yeah. I definitely I mean I'm I'm really surprised that Tanya hasn't said to her to get in touch with me either. That seems a bit.""
operator said ""Like I say I don't know what I know that Tanya's just changed the time of my Monday meetin",11767,12571
deepset/xlm-roberta-large-squad2,13136,0,4,What date is set for another meeting?,no_answer,2.870576858520508,0,0,,0,0
deepset/xlm-roberta-large-squad2,13136,1,0,What date is proposed for the next meeting?,next Monday,5.448731422424316,14153,14164, then at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But t,14108,14208
deepset/xlm-roberta-large-squad2,13136,1,1,What date is proposed for the next meeting?,Monday,4.756995677947998,14158,14164,en at the meet the lunch meeting with them next Monday is I'll mention to Tanya and Nicole. But then,14111,14211
deepset/xlm-roberta-large-squad2,13136,1,2,What date is proposed for the next meeting?,middle of August,4.587043285369873,24564,24580, of like this week for a date kind of like middle of August when obviously it's raining and you know,24522,24622
deepset/xlm-roberta-large-squad2,13136,1,3,What date is proposed for the next meeting?,Monday,3.988710641860962,11768,11774,l her and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do,11721,11821
deepset/xlm-roberta-large-squad2,13136,1,4,What date is proposed for the next meeting?,Monday next week,3.956491470336914,11768,11784, and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that,11726,11826
deepset/xlm-roberta-large-squad2,13828,0,0,What date is set for another meeting?,no_answer,6.263576984405518,0,0,,0,0
deepset/xlm-roberta-large-squad2,13828,0,1,What date is set for another meeting?,10 millimeters,-5.380976676940918,7851,7865," tablet for these.""
operator said ""So there 10 millimeters so there tiny what you actually saw on th",7808,7908
deepset/xlm-roberta-large-squad2,13828,0,2,What date is set for another meeting?,"10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight was a wonderful thing",-5.785399436950684,7851,8792,"e 10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight was a wonderful thin",7850,8792
deepset/xlm-roberta-large-squad2,13828,0,3,What date is set for another meeting?,"today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters",-5.8122711181640625,7771,7865,"one today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters s",7768,7868
deepset/xlm-roberta-large-squad2,13828,0,4,What date is set for another meeting?,"today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight was a wonderful thing",-6.216693878173828,7771,8792,"e today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight was a wonderful thin",7770,8792
deepset/xlm-roberta-large-squad2,13828,1,0,What date is proposed for the next meeting?,no_answer,6.300008773803711,0,0,,0,0
deepset/xlm-roberta-large-squad2,13828,1,1,What date is proposed for the next meeting?,today,-4.747034549713135,7771,7776,day would be better to take this and say the one today. Yes. And what the size of the tablet for the,7723,7823
deepset/xlm-roberta-large-squad2,13828,1,2,What date is proposed for the next meeting?,"today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight was a wonderful thing",-5.171786308288574,7771,8792,"e today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight was a wonderful thin",7770,8792
deepset/xlm-roberta-large-squad2,13828,1,3,What date is proposed for the next meeting?,"today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsight",-5.590999126434326,7771,8770,"e today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters so there tiny what you actually saw on the screen there was exactly the right size.""
customer said ""They're really small actually I'm probably behind the times I assume they were the page that the big horse pills.""
operator said ""absolutely no. We took advice and we were the first to market. So we looked at some of the calcium and vitamin D three treatments and we wanted to make it easier because half the tablets that the elderly is taking nowadays are as you say horse tranquilisers not nice. I have to break off my tablets in half. And if it's a liquid capsule like that you do not want to have to go messing with it. So it's nice and easy with a sip of water. No need to worry about food either. So on the basis of all of that what would prevent you from calling your customer your patient from yesterday back in?""
customer said ""No there's no reason for me not not to call them back in, hindsigh",7770,8770
deepset/xlm-roberta-large-squad2,13828,1,4,What date is proposed for the next meeting?,"today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters",-5.611208915710449,7771,7865,"one today. Yes. And what the size of the tablet for these.""
operator said ""So there 10 millimeters s",7768,7868
deepset/xlm-roberta-large-squad2,13960,0,0,What date is set for another meeting?,12th of August,4.853114604949951,11449,11463,"eased best-run. I will see her again on the 12th of August to see if we can get that sorted first. """,11406,11506
deepset/xlm-roberta-large-squad2,13960,0,1,What date is set for another meeting?,the following week,4.205634593963623,15729,15747,"s Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is that it ",15688,15788
deepset/xlm-roberta-large-squad2,13960,0,2,What date is set for another meeting?,no_answer,4.057188987731934,0,0,,0,0
deepset/xlm-roberta-large-squad2,13960,0,3,What date is set for another meeting?,week,2.8523166179656982,15743,15747,"from the 16th so i've said to meet the following week. ""
operator said ""It's that is that it was Pau",15695,15795
deepset/xlm-roberta-large-squad2,13960,0,4,What date is set for another meeting?,Wednesday the 4th of August,2.6029975414276123,20390,20417, a contract Cath I will put it on for Wednesday the 4th of August and that's good with you in the mo,20353,20453
deepset/xlm-roberta-large-squad2,13960,1,0,What date is proposed for the next meeting?,Wednesday the 4th of August,5.643791198730469,20390,20417, a contract Cath I will put it on for Wednesday the 4th of August and that's good with you in the mo,20353,20453
deepset/xlm-roberta-large-squad2,13960,1,1,What date is proposed for the next meeting?,fourth of August,5.429067134857178,4272,4288,very keen so if we can put it down for the fourth of August I'll send you a contract all that sort o,4230,4330
deepset/xlm-roberta-large-squad2,13960,1,2,What date is proposed for the next meeting?,4th of August,4.877303123474121,20404,20417,ract Cath I will put it on for Wednesday the 4th of August and that's good with you in the morning. ,20360,20460
deepset/xlm-roberta-large-squad2,13960,1,3,What date is proposed for the next meeting?,the fourth of August,4.433175086975098,4268,4288," ""very keen so if we can put it down for the fourth of August I'll send you a contract all that sort",4228,4328
deepset/xlm-roberta-large-squad2,13960,1,4,What date is proposed for the next meeting?,the following week,3.877011775970459,15729,15747,"s Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is that it ",15688,15788
deepset/xlm-roberta-large-squad2,16699,0,0,What date is set for another meeting?,no_answer,5.810510635375977,0,0,,0,0
deepset/xlm-roberta-large-squad2,16699,0,1,What date is set for another meeting?,in a few more weeks,-0.3128815293312073,16713,16732,on't cover we can talk. We can reschedule in a few more weeks or you can send me some information. I,16672,16772
deepset/xlm-roberta-large-squad2,16699,0,2,What date is set for another meeting?,early next year,-1.767282485961914,24406,24421,"ng with the FDA and then hopefully sometime early next year.""
customer said ""OK.""
operator said ""Yea",24363,24463
deepset/xlm-roberta-large-squad2,16699,0,3,What date is set for another meeting?,great,-1.857954502105713,579,584,"as that experience?""
customer said ""Yeah. It was great. You know I really got to relax. My wife took",531,631
deepset/xlm-roberta-large-squad2,16699,0,4,What date is set for another meeting?,sometime early next year,-2.3673856258392334,24397,24421,"orking with the FDA and then hopefully sometime early next year.""
customer said ""OK.""
operator said ",24359,24459
deepset/xlm-roberta-large-squad2,16699,1,0,What date is proposed for the next meeting?,no_answer,3.825305938720703,0,0,,0,0
deepset/xlm-roberta-large-squad2,16699,1,1,What date is proposed for the next meeting?,early next year,0.850636899471283,24406,24421,"ng with the FDA and then hopefully sometime early next year.""
customer said ""OK.""
operator said ""Yea",24363,24463
deepset/xlm-roberta-large-squad2,16699,1,2,What date is proposed for the next meeting?,sometime early next year,0.3390551209449768,24397,24421,"orking with the FDA and then hopefully sometime early next year.""
customer said ""OK.""
operator said ",24359,24459
deepset/xlm-roberta-large-squad2,16699,1,3,What date is proposed for the next meeting?,hopefully sometime early next year,-1.1856675148010254,24387,24421,"'re working with the FDA and then hopefully sometime early next year.""
customer said ""OK.""
operator ",24354,24454
deepset/xlm-roberta-large-squad2,16699,1,4,What date is proposed for the next meeting?,"early next year.""",-1.2780516147613525,24406,24423,"g with the FDA and then hopefully sometime early next year.""
customer said ""OK.""
operator said ""Yeah",24364,24464
deepset/xlm-roberta-large-squad2,16997,0,0,What date is set for another meeting?,no_answer,6.6123247146606445,0,0,,0,0
deepset/xlm-roberta-large-squad2,16997,0,1,What date is set for another meeting?,nine fifty nine twenty five,-7.06105375289917,17551,17578," ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointmen",17514,17614
deepset/xlm-roberta-large-squad2,16997,0,2,What date is set for another meeting?,nine fifty nine twenty five. I forgot that I had an appointment,-8.764633178710938,17551,17614,o run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't ,17532,17632
deepset/xlm-roberta-large-squad2,16997,0,3,What date is set for another meeting?,".""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five",-9.202730178833008,17498,17579,"s well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgo",17488,17588
deepset/xlm-roberta-large-squad2,16997,0,4,What date is set for another meeting?,twenty five,-9.214729309082031,17567,17578,am I got to run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure.,17522,17622
deepset/xlm-roberta-large-squad2,16997,1,0,What date is proposed for the next meeting?,no_answer,6.619111061096191,0,0,,0,0
deepset/xlm-roberta-large-squad2,16997,1,1,What date is proposed for the next meeting?,nine fifty nine twenty five,-7.116410255432129,17551,17578," ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appointmen",17514,17614
deepset/xlm-roberta-large-squad2,16997,1,2,What date is proposed for the next meeting?,nine fifty nine twenty five. I forgot that I had an appointment,-9.174049377441406,17551,17614,o run because it is nine fifty nine twenty five. I forgot that I had an appointment. Sure. I didn't ,17532,17632
deepset/xlm-roberta-large-squad2,16997,1,3,What date is proposed for the next meeting?,nine fifty nine,-9.273319244384766,17551,17566,"r said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgot that I had an appo",17508,17608
deepset/xlm-roberta-large-squad2,16997,1,4,What date is proposed for the next meeting?,".""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five",-9.288256645202637,17498,17579,"s well. So.""
customer said ""Hey Adam I got to run because it is nine fifty nine twenty five. I forgo",17488,17588
deepset/xlm-roberta-large-squad2,17030,0,0,What date is set for another meeting?,no_answer,7.5225067138671875,0,0,,0,0
deepset/xlm-roberta-large-squad2,17030,0,1,What date is set for another meeting?,two years,0.5753728151321411,14209,14218,of pulling this out of my mind but I feel like two years would be a more reasonable amount of time e,14163,14263
deepset/xlm-roberta-large-squad2,17030,0,2,What date is set for another meeting?,Monday,-2.140146493911743,226,232,"py that it's turning out to be less crazy. It's Monday right?""
operator said ""Tell me about the dog ",179,279
deepset/xlm-roberta-large-squad2,17030,0,3,What date is set for another meeting?,two years would be a more reasonable amount of time,-2.9833059310913086,14209,14260,f my mind but I feel like two years would be a more reasonable amount of time especially with covid ,14184,14284
deepset/xlm-roberta-large-squad2,17030,0,4,What date is set for another meeting?,As an average it's surprising,-3.7010934352874756,17441,17470," surprising to you?""
customer said ""As an average it's surprising to me yeah it would be I mean that",17405,17505
deepset/xlm-roberta-large-squad2,17030,1,0,What date is proposed for the next meeting?,no_answer,7.482110977172852,0,0,,0,0
deepset/xlm-roberta-large-squad2,17030,1,1,What date is proposed for the next meeting?,two years,0.5092490911483765,14209,14218,of pulling this out of my mind but I feel like two years would be a more reasonable amount of time e,14163,14263
deepset/xlm-roberta-large-squad2,17030,1,2,What date is proposed for the next meeting?,Monday,-1.8896920680999756,226,232,"py that it's turning out to be less crazy. It's Monday right?""
operator said ""Tell me about the dog ",179,279
deepset/xlm-roberta-large-squad2,17030,1,3,What date is proposed for the next meeting?,I will not be there,-2.623211622238159,19045,19064,"n it. Will you be there?""
operator said ""I will not be there. No no. I got I was supposed to co lead",19004,19104
deepset/xlm-roberta-large-squad2,17030,1,4,What date is proposed for the next meeting?,two years would be a more reasonable amount of time,-3.2734804153442383,14209,14260,f my mind but I feel like two years would be a more reasonable amount of time especially with covid ,14184,14284
deepset/xlm-roberta-large-squad2,17194,0,0,What date is set for another meeting?,no_answer,6.096030235290527,0,0,,0,0
deepset/xlm-roberta-large-squad2,17194,0,1,What date is set for another meeting?,pain,-8.473601341247559,9357,9361,h RA it's probably the first thing is always the pain. Yeah and then the tiredness there always feel,9309,9409
deepset/xlm-roberta-large-squad2,17194,0,2,What date is set for another meeting?,Xeljanz,-8.702936172485352,5167,5174,a smoker then they're probably not the patient. Xeljanz there are but there are still lots of patien,5120,5220
deepset/xlm-roberta-large-squad2,17194,0,3,What date is set for another meeting?,price,-8.996115684509277,3517,3522," than the other?""
customer said ""Um well I think price is one issue with this but I think. That that",3469,3569
deepset/xlm-roberta-large-squad2,17194,0,4,What date is set for another meeting?,ince,-9.424439430236816,10560,10564,because again mentioning our website we've got a ince video on there of of Illington talking about p,10512,10612
deepset/xlm-roberta-large-squad2,17194,1,0,What date is proposed for the next meeting?,no_answer,7.03410530090332,0,0,,0,0
deepset/xlm-roberta-large-squad2,17194,1,1,What date is proposed for the next meeting?,ince video,-8.785301208496094,10560,10570,ause again mentioning our website we've got a ince video on there of of Illington talking about pain,10515,10615
deepset/xlm-roberta-large-squad2,17194,1,2,What date is proposed for the next meeting?,Xeljanz,-9.227095603942871,5167,5174,a smoker then they're probably not the patient. Xeljanz there are but there are still lots of patien,5120,5220
deepset/xlm-roberta-large-squad2,17194,1,3,What date is proposed for the next meeting?,a ince video,-9.344983100891113,10558,10570,cause again mentioning our website we've got a ince video on there of of Illington talking about pai,10514,10614
deepset/xlm-roberta-large-squad2,17194,1,4,What date is proposed for the next meeting?,wildfire,-9.456077575683594,1035,1043,"g round all of us at Pfizer at the moment like wildfire. But yeah. Worse for you guys.""
customer sai",989,1089
deepset/xlm-roberta-large-squad2,17227,0,0,What date is set for another meeting?,no_answer,4.911682605743408,0,0,,0,0
deepset/xlm-roberta-large-squad2,17227,0,1,What date is set for another meeting?,the week after next,-0.9960638284683228,12412,12431," the the meeting. Is it still monthly. So the week after next?""
customer said ""Yeah.""
operator said ",12371,12471
